TIME,S_MIN,S_MAX,S_MID,S_COUNT,S_VAR,T_MIN,T_MAX,T_MID,T_COUNT,T_VAR,SGR_MIN,SGR_MAX,SGR_MID,SGR_COUNT,SGR_VAR,SO
1160,-24.42,98.42,25.61,38,27.04,8.08,65.15,25.24,38,14.13,0.55,0.63,0.56,31,0.0198,0.085
1161,-46.18,112.75,25.50,33,31.60,5.46,79.28,27.98,33,18.25,0.55,0.63,0.56,32,0.0176,0.197
1162,-59.29,119.12,23.06,31,31.90,2.76,95.49,29.41,31,19.82,0.55,0.62,0.57,37,0.0175,0.246
1163,-59.23,119.02,28.15,36,34.13,3.71,99.35,29.68,36,20.82,0.55,0.64,0.56,37,0.0189,0.176
1164,-53.21,98.61,22.80,33,32.19,2.30,95.45,30.77,33,19.94,0.55,0.63,0.57,37,0.0188,0.215
1165,-64.90,91.31,20.30,36,32.69,1.64,98.42,30.54,36,19.91,0.55,0.64,0.57,35,0.0173,0.175
1166,-80.54,99.78,21.53,34,31.17,4.02,120.86,28.35,34,21.68,0.55,0.61,0.56,35,0.0155,0.148
1167,-89.59,111.73,23.95,32,37.37,0.46,135.80,32.55,32,26.76,0.55,0.64,0.57,42,0.0176,0.233
1168,-87.82,110.66,22.77,37,33.63,2.42,136.91,30.29,37,23.64,0.54,0.63,0.57,34,0.0202,0.139
1169,-80.83,93.20,18.00,35,34.20,3.22,129.63,33.24,35,25.90,0.55,0.64,0.57,35,0.0211,0.242
1170,-102.91,82.21,16.87,33,40.60,2.27,148.24,34.77,33,31.91,0.54,0.62,0.56,45,0.0158,0.225
1172,-121.06,103.91,20.32,34,40.26,11.55,173.53,35.19,34,31.78,0.54,0.64,0.56,45,0.0187,0.255
1173,-121.29,101.74,19.94,34,36.70,10.07,171.62,32.03,34,28.94,0.53,0.64,0.56,38,0.024,0.3
1174,-111.22,84.35,15.24,32,32.66,6.09,156.74,31.99,32,27.21,0.53,0.63,0.56,24,0.0198,0.264
1175,-121.77,75.23,15.08,35,41.60,3.57,170.05,35.03,35,35.04,0.53,0.64,0.56,57,0.0182,0.273
1176,-144.27,97.29,11.27,35,46.63,6.15,195.47,37.44,35,43.15,0.53,0.64,0.56,25,0.0217,0.206
1183,-124.41,99.78,15.46,36,36.87,5.31,162.30,32.65,36,30.83,0.52,0.64,0.56,54,0.019,0.268
1184,-139.04,85.18,13.58,36,40.02,8.27,188.24,34.06,36,35.05,0.54,0.63,0.57,31,0.0251,0.473
1185,-156.10,76.08,8.82,33,44.45,5.47,203.08,38.24,33,39.55,0.51,0.63,0.56,36,0.0241,0.569
1186,-157.65,90.75,12.26,35,37.44,6.52,201.47,31.37,35,34.87,0.52,0.64,0.57,52,0.0181,0.552
1188,-102.45,102.53,16.20,33,35.51,9.11,138.89,32.70,33,28.93,0.51,0.64,0.57,41,0.0261,0.501
1189,-140.90,89.03,11.28,34,38.59,9.86,190.29,34.93,34,34.79,0.54,0.63,0.56,43,0.0172,0.569
1190,-149.40,71.80,11.24,34,37.48,6.87,196.49,32.82,34,34.72,0.54,0.63,0.56,32,0.0265,0.553
1191,-142.18,83.36,10.82,38,38.49,3.27,186.53,35.20,38,33.83,0.51,0.64,0.56,50,0.0243,0.607
1192,-125.90,102.93,10.55,34,41.15,7.55,167.86,36.76,34,35.55,0.52,0.63,0.56,35,0.0196,0.483
1194,-121.45,90.75,9.00,36,33.84,8.05,171.86,33.92,36,32.19,0.52,0.62,0.56,50,0.0188,0.333
1207,-91.18,104.80,12.68,36,33.61,1.18,144.06,33.95,36,29.38,0.52,0.66,0.56,43,0.0339,0.231
1208,-80.66,107.73,15.83,36,31.60,0.53,132.26,31.46,36,26.68,0.52,0.61,0.55,41,0.0183,0.13
1209,-71.50,82.46,11.14,36,31.46,1.87,116.64,33.60,36,28.47,0.52,0.67,0.57,40,0.0415,0
1218,-60.63,95.33,13.32,35,31.64,3.38,110.37,33.75,35,24.16,0.51,0.70,0.57,43,0.0381,0.284
1219,-71.96,75.14,16.08,39,28.42,0.33,117.65,29.51,39,22.70,0.51,0.62,0.55,42,0.0229,0.234
1220,-81.20,91.13,14.96,36,31.66,2.58,132.99,31.04,36,27.56,0.51,0.69,0.55,44,0.0307,0
1230,-77.02,110.75,16.30,35,32.58,3.25,128.75,32.06,35,26.23,0.49,0.69,0.55,35,0.0471,0.139
1231,-80.58,121.04,17.71,39,33.16,2.27,132.84,31.54,39,26.78,0.49,0.63,0.54,43,0.0264,0
1239,-69.83,61.56,16.75,39,25.24,2.05,115.02,26.75,39,21.58,0.49,0.67,0.55,34,0.0398,0.136
1240,-71.92,81.20,15.74,38,26.83,7.66,117.20,29.60,38,21.34,0.48,0.66,0.54,48,0.0329,0.111
1244,-65.06,57.62,13.18,40,27.23,1.31,106.97,29.49,40,24.20,0.48,0.61,0.54,33,0.0305,0.027
1245,-60.18,56.04,17.15,38,24.14,5.66,101.22,26.49,38,20.00,0.49,0.59,0.54,41,0.026,0.078
1247,-40.46,67.02,17.23,41,24.18,6.80,75.34,27.33,41,18.25,0.49,0.57,0.54,34,0.0212,0
1248,-44.24,66.61,17.78,37,24.64,5.61,81.52,27.58,37,18.03,0.48,0.57,0.54,46,0.0271,0.162
1250,-45.32,58.66,19.23,35,22.57,2.53,83.81,24.73,35,17.78,0.49,0.57,0.54,34,0.0231,0.073
1251,-33.06,57.55,16.18,41,21.44,3.60,71.72,27.39,41,17.67,0.47,0.57,0.54,47,0.0236,0.036
1252,-27.34,59.38,17.16,37,22.89,1.92,69.69,26.84,37,18.71,0.47,0.57,0.54,33,0.0245,0
1253,-29.49,58.03,18.44,39,21.94,3.70,72.01,26.08,39,17.36,0.48,0.57,0.54,38,0.0252,0.041
1254,-34.78,58.75,18.96,35,22.98,1.64,71.97,25.90,35,17.94,0.48,0.57,0.54,51,0.0228,0
1255,-34.08,59.51,16.63,40,22.76,1.03,70.97,27.17,40,18.62,0.48,0.56,0.54,35,0.0243,0
1257,-21.53,59.27,18.12,37,20.57,0.94,66.14,26.55,37,17.12,0.46,0.57,0.53,50,0.03,0.097
1258,-22.65,56.94,17.84,40,20.17,2.05,65.01,26.75,40,16.34,0.46,0.57,0.54,34,0.0315,0
1259,-24.96,57.82,19.52,36,20.34,0.53,62.87,24.85,36,17.48,0.46,0.58,0.54,46,0.0294,0.01
1260,-24.30,58.81,17.47,40,20.92,1.62,67.16,27.45,40,17.45,0.46,0.57,0.53,44,0.0313,0.074
1261,-34.18,58.10,17.38,44,20.69,2.02,78.48,27.19,44,17.85,0.45,0.57,0.54,39,0.0331,0
1262,-33.25,54.88,17.71,37,19.97,0.27,76.95,27.73,37,17.40,0.44,0.58,0.53,42,0.0367,0.177
1263,-30.42,56.04,17.93,40,19.47,0.44,72.60,26.13,40,16.86,0.44,0.57,0.53,50,0.0383,0.019
1264,-27.19,56.76,19.13,37,18.29,1.16,67.36,25.71,37,15.92,0.44,0.57,0.54,39,0.0339,0.108
1265,-25.06,53.56,18.08,42,19.90,0.96,76.56,26.42,42,19.00,0.44,0.57,0.53,51,0.039,0.062
1266,-64.53,55.55,15.86,37,22.23,0.77,114.83,29.13,37,21.19,0.44,0.57,0.52,41,0.043,0.107
1267,-60.76,52.36,17.53,37,21.80,0.98,110.41,27.42,37,21.07,0.43,0.57,0.54,46,0.0389,0.062
1268,-51.04,52.52,18.32,42,19.16,0.36,98.55,26.12,42,17.93,0.43,0.57,0.53,50,0.0382,0
1269,-39.89,53.53,17.94,40,18.89,1.11,83.95,27.40,40,17.60,0.43,0.58,0.52,47,0.0471,0.085
1270,-30.16,49.36,20.91,36,17.00,0.44,70.64,24.03,36,16.67,0.43,0.58,0.52,58,0.0425,0
1271,-25.59,51.98,17.92,39,18.14,1.33,72.55,26.94,39,17.75,0.43,0.57,0.51,35,0.0464,0.083
1272,-87.67,50.04,13.73,40,27.69,1.56,144.21,31.26,40,29.13,0.43,0.60,0.52,62,0.0482,0
1273,-63.85,48.56,19.51,40,19.40,0.37,117.06,25.86,40,19.23,0.43,0.58,0.51,47,0.0449,0
1274,-48.25,50.50,18.78,39,20.78,1.75,96.12,26.45,39,19.43,0.43,0.60,0.52,49,0.0472,0
1275,-36.86,49.06,22.84,39,17.35,0.59,78.53,22.91,39,16.08,0.43,0.58,0.52,49,0.05,0.012
1276,-33.56,47.92,18.91,41,17.50,2.26,72.07,25.69,41,16.80,0.43,0.57,0.51,52,0.0473,0
1277,-87.40,46.67,15.02,40,29.51,1.70,146.13,30.46,40,30.67,0.43,0.58,0.52,53,0.0489,0.009
1278,-67.60,47.68,19.38,40,22.18,1.48,124.79,26.92,40,21.98,0.43,0.57,0.50,45,0.0514,0
1279,-55.41,50.73,20.65,40,20.78,1.23,107.04,24.29,40,19.45,0.43,0.59,0.51,62,0.0492,0
1280,-46.96,53.49,20.51,38,21.34,3.58,90.79,24.95,38,19.38,0.43,0.56,0.51,45,0.0463,0.01
1290,-65.68,73.41,22.04,39,28.10,3.26,105.61,26.83,39,22.89,0.42,0.59,0.50,65,0.0497,0.024
1292,-67.25,75.92,22.05,41,28.92,3.41,103.10,27.65,41,22.49,0.41,0.60,0.49,69,0.051,0.043
1293,-58.56,79.00,20.78,39,31.38,3.43,95.84,29.72,39,25.43,0.41,0.59,0.49,62,0.0479,0.046
1294,-65.91,77.93,19.76,42,33.24,1.84,104.29,30.16,42,26.13,0.41,0.56,0.49,68,0.0478,0.038
1295,-71.73,74.45,21.76,39,31.08,5.93,109.39,28.68,39,24.42,0.41,0.60,0.49,70,0.0494,0
1296,-73.46,69.91,21.62,36,30.48,2.49,110.71,29.30,36,24.08,0.41,0.58,0.49,68,0.0497,0
1297,-70.25,70.89,22.50,41,28.94,2.26,106.18,28.19,41,22.26,0.41,0.60,0.49,71,0.0483,0.099
1298,-61.72,69.92,20.81,46,29.26,3.36,98.52,28.98,46,22.64,0.41,0.61,0.49,76,0.0504,0.088
1299,-72.91,68.25,18.02,41,36.98,1.41,110.61,31.99,41,30.36,0.41,0.60,0.49,79,0.0483,0
1300,-78.82,66.13,19.06,41,32.21,2.80,117.30,30.84,41,26.62,0.41,0.57,0.48,74,0.043,0
1301,-80.50,63.79,21.24,39,29.25,3.51,118.57,28.52,39,23.94,0.41,0.63,0.49,89,0.0554,0.171
1302,-76.77,60.83,19.38,35,30.53,3.45,113.38,30.23,35,24.75,0.41,0.57,0.48,81,0.0448,0.105
1304,-74.62,58.48,16.30,38,34.77,2.12,112.90,32.55,38,29.23,0.41,0.59,0.48,93,0.0463,0.048
1305,-86.69,60.07,15.69,43,33.65,0.80,126.64,33.15,43,29.68,0.41,0.61,0.48,94,0.046,0.082
1306,-86.64,57.87,17.46,41,29.70,1.16,125.58,30.15,41,25.86,0.41,0.62,0.49,103,0.0524,0.141
1307,-80.24,53.60,17.95,36,29.95,0.86,117.07,29.57,36,26.30,0.41,0.61,0.48,98,0.0444,0.127
1308,-75.41,50.55,18.00,44,29.16,0.63,114.12,28.78,44,25.19,0.41,0.61,0.49,120,0.0532,0.192
1309,-78.85,51.47,15.79,42,30.52,1.10,117.61,31.90,42,26.97,0.41,0.60,0.47,106,0.0446,0
1310,-82.79,52.61,13.15,41,34.06,0.59,121.86,33.69,41,30.21,0.41,0.61,0.48,108,0.0468,0.086
1311,-79.78,51.65,15.18,39,29.35,0.47,117.58,32.28,39,26.20,0.41,0.62,0.48,127,0.0507,0.014
1312,-78.10,50.54,17.73,42,27.13,0.29,118.07,29.01,42,24.03,0.41,0.59,0.47,120,0.0444,0
1313,-79.15,46.46,14.62,41,28.21,0.42,117.88,31.07,41,25.36,0.41,0.59,0.49,143,0.0511,0.041
1314,-77.54,50.83,13.91,38,29.09,0.52,115.11,32.33,38,25.27,0.41,0.59,0.48,120,0.0495,0.034
1315,-73.68,48.56,12.41,41,31.41,0.49,110.18,33.79,41,27.39,0.40,0.59,0.48,140,0.0551,0.08
1316,-72.25,50.19,16.00,42,26.86,0.66,107.82,31.24,42,23.23,0.40,0.60,0.47,128,0.0519,0.098
1317,-75.82,51.26,18.53,44,25.94,1.05,111.84,27.45,44,22.36,0.40,0.61,0.48,131,0.0597,0.029
1318,-74.49,52.48,17.39,41,25.20,1.03,109.80,29.38,41,21.57,0.40,0.61,0.47,129,0.0578,0.01
1319,-69.19,47.06,16.04,43,25.51,0.53,103.23,30.43,43,21.78,0.40,0.59,0.47,114,0.0552,0.012
1320,-61.84,51.97,10.40,40,30.02,1.46,94.60,35.39,40,24.61,0.40,0.61,0.48,143,0.0669,0.056
1323,-66.20,51.74,16.76,35,25.19,2.25,97.41,29.58,35,20.22,0.39,0.61,0.47,124,0.0679,0.088
1324,-60.51,47.94,16.16,42,23.52,1.20,91.46,30.78,42,19.61,0.39,0.61,0.48,122,0.0783,0.026
1325,-61.23,50.85,15.74,38,26.77,0.44,91.67,31.13,38,21.72,0.39,0.61,0.48,131,0.0758,0
1326,-65.11,48.40,17.39,45,25.01,0.62,95.50,28.67,45,20.67,0.38,0.61,0.48,128,0.077,0.053
1327,-64.92,48.30,17.81,45,23.65,1.12,95.34,29.02,45,19.40,0.38,0.61,0.49,121,0.08,0.107
1328,-61.09,49.67,18.89,39,23.15,0.51,91.58,28.37,39,18.66,0.39,0.62,0.49,130,0.0785,0.189
1329,-55.63,47.06,17.48,42,22.01,0.66,86.25,29.40,42,18.14,0.39,0.63,0.49,118,0.0772,0.154
1330,-64.77,50.45,15.49,40,25.10,4.26,95.83,31.43,40,20.59,0.39,0.65,0.49,130,0.0784,0.066
1331,-66.14,46.66,17.29,42,22.97,1.71,97.63,28.81,42,19.56,0.39,0.64,0.49,111,0.078,0.046
1332,-63.34,49.89,18.09,41,23.06,4.01,95.35,28.90,41,19.49,0.39,0.66,0.49,129,0.0771,0
1333,-57.90,48.76,17.82,41,21.23,3.01,90.13,30.05,41,17.76,0.39,0.64,0.49,114,0.0811,0.106
1334,-58.75,48.15,18.58,39,21.95,1.49,90.17,28.58,39,18.23,0.39,0.66,0.49,124,0.0817,0.171
1335,-66.99,50.43,17.31,48,23.51,2.92,99.67,30.17,48,19.76,0.39,0.64,0.49,117,0.0836,0.143
1336,-65.92,47.54,18.26,44,21.22,2.18,99.72,28.89,44,18.33,0.39,0.64,0.48,108,0.0821,0.174
1337,-65.39,50.47,18.29,39,24.14,2.27,97.19,29.27,39,20.90,0.39,0.67,0.48,105,0.0847,0.151
1338,-65.14,49.09,17.54,40,22.28,0.76,97.23,30.18,40,19.12,0.38,0.67,0.49,112,0.0875,0.123
1339,-65.59,49.06,18.37,41,22.76,2.02,98.64,29.51,41,19.33,0.38,0.67,0.49,99,0.0784,0.134
1340,-67.28,53.02,14.71,43,25.27,3.10,103.36,33.00,43,21.14,0.38,0.67,0.48,117,0.0757,0.109
1341,-62.83,56.35,19.54,42,21.76,2.28,100.68,29.26,42,18.04,0.37,0.64,0.47,107,0.0729,0.113
1342,-71.11,56.71,18.06,38,25.32,5.62,104.41,30.20,38,21.25,0.37,0.66,0.48,116,0.076,0.211
1343,-69.36,52.92,16.38,40,24.08,3.29,103.74,31.48,40,20.74,0.37,0.67,0.49,109,0.0871,0.222
1344,-65.67,53.69,18.41,47,22.82,3.08,103.43,30.71,47,19.41,0.36,0.65,0.48,112,0.0893,0.147
1345,-60.60,58.48,17.64,42,25.60,3.38,103.14,31.20,42,21.97,0.36,0.67,0.49,104,0.0894,0
1346,-47.11,61.67,18.88,43,20.95,3.78,95.00,31.06,43,17.35,0.35,0.68,0.48,104,0.0964,0.213
1347,-70.27,61.59,18.43,41,25.03,4.61,107.62,30.49,41,21.53,0.34,0.69,0.49,110,0.1041,0.001
