TIME,S_MIN,S_MAX,S_MID,S_COUNT,S_VAR,T_MIN,T_MAX,T_MID,T_COUNT,T_VAR,SGR_MIN,SGR_MAX,SGR_MID,SGR_COUNT,SGR_VAR,SO
1084,5.92,54.18,28.29,21,11.19,3.95,50.79,20.22,44,11.82,0.52,0.61,0.57,13,0.0336,0
1085,-1.94,45.89,28.74,36,12.69,10.90,39.69,23.64,36,7.62,0.50,0.62,0.56,11,0.0379,0
1086,-16.93,57.56,20.91,18,22.39,6.78,34.65,23.95,28,7.53,0.48,0.63,0.56,15,0.0461,0
1087,-14.77,46.92,24.76,28,16.54,1.21,47.08,20.40,39,10.58,0.48,0.62,0.56,14,0.0428,0.197
1088,13.42,53.18,35.02,23,9.73,4.50,46.41,19.67,42,10.57,0.48,0.62,0.57,14,0.0409,0.051
1089,1.50,52.59,28.29,19,12.83,8.54,40.78,22.32,33,8.94,0.47,0.60,0.55,15,0.0428,0.06
1090,5.67,42.30,28.21,32,9.86,9.02,33.27,22.78,35,7.18,0.48,0.62,0.56,11,0.0539,0.109
1091,-16.59,50.25,23.70,23,19.65,1.91,34.79,19.64,34,8.64,0.47,0.61,0.55,15,0.0446,0.112
1092,-15.14,45.45,23.17,25,19.59,1.62,35.59,20.76,46,10.00,0.47,0.61,0.54,13,0.0545,0.145
1103,16.77,47.99,34.12,18,9.25,3.66,37.62,22.03,28,8.64,0.43,0.63,0.53,16,0.0776,0.186
1104,16.16,41.83,33.00,22,7.32,2.79,40.13,23.90,54,7.52,0.44,0.62,0.52,13,0.0657,0.215
1105,16.22,43.72,30.50,27,7.34,6.87,39.98,21.56,35,10.67,0.43,0.63,0.51,14,0.0657,0.123
1106,4.56,52.35,28.27,30,11.96,9.67,36.76,22.32,29,8.33,0.43,0.64,0.55,15,0.0748,0
1107,-8.11,44.69,22.68,27,17.25,7.55,39.32,23.92,31,8.67,0.43,0.63,0.50,12,0.06,0
1108,20.86,52.32,34.43,22,8.35,4.05,41.46,24.81,50,7.14,0.43,0.63,0.51,13,0.0672,0.156
1109,14.21,48.10,33.02,21,7.48,10.17,46.18,24.52,35,11.03,0.44,0.64,0.55,16,0.0739,0.141
1110,14.12,45.75,32.50,26,6.49,8.64,45.45,24.79,29,10.77,0.44,0.63,0.48,10,0.052,0.185
1119,8.64,47.16,31.14,20,8.17,8.81,46.47,27.81,27,10.74,0.44,0.61,0.47,11,0.0465,0.483
1120,10.18,43.25,33.17,22,6.40,7.30,38.67,26.81,52,8.28,0.44,0.60,0.48,19,0.0441,0
1121,4.74,55.00,33.09,33,8.66,17.05,38.67,27.43,36,5.13,0.43,0.58,0.48,10,0.051,0.059
1123,9.35,50.33,34.09,26,8.64,14.52,44.50,29.70,24,9.40,0.43,0.52,0.47,15,0.028,0
1124,9.67,49.48,32.68,22,8.80,6.50,39.45,25.34,54,8.76,0.43,0.56,0.47,13,0.047,0
1125,22.57,46.66,34.89,18,5.97,19.55,35.36,27.19,36,4.49,0.43,0.50,0.46,13,0.0246,0
1126,9.12,52.03,32.53,36,8.73,18.58,38.72,28.99,30,5.58,0.43,0.58,0.47,14,0.0406,0
1127,13.15,47.34,28.57,29,8.04,12.62,41.02,29.18,26,6.88,0.43,0.54,0.46,15,0.0385,0.572
1128,12.64,48.88,32.56,20,7.98,9.53,41.82,26.30,42,7.49,0.43,0.49,0.46,15,0.0254,0
1129,12.48,42.86,33.31,25,7.28,8.53,39.10,25.17,46,8.75,0.43,0.49,0.45,12,0.0202,0.596
1133,20.09,46.65,31.45,18,6.70,1.29,38.75,25.71,63,9.56,0.43,0.52,0.46,9,0.0321,0.402
1134,15.13,46.10,31.51,19,7.21,2.04,48.66,27.48,27,11.60,0.43,0.51,0.46,16,0.024,0
1135,13.37,43.46,33.28,26,7.47,9.57,51.82,29.00,27,11.58,0.43,0.49,0.45,18,0.0183,0.231
1143,13.02,47.29,35.77,26,8.24,5.93,68.46,27.72,27,17.20,0.42,0.48,0.44,18,0.0129,0.137
1144,12.61,39.00,28.17,18,8.09,7.47,59.43,21.53,22,13.37,0.42,0.49,0.45,12,0.017,0.205
1145,16.42,48.37,33.30,27,7.81,0.91,42.56,24.80,60,9.97,0.42,0.46,0.44,18,0.01,0.143
1146,11.92,50.52,34.68,28,9.34,2.04,62.85,23.55,33,14.04,0.42,0.45,0.44,10,0.0078,0
1147,11.64,55.25,39.82,33,12.04,2.04,70.51,23.76,23,17.10,0.42,0.46,0.44,17,0.0106,0
1148,16.11,47.50,33.56,23,8.33,6.11,70.25,22.10,25,16.85,0.43,0.45,0.44,14,0.0083,0.222
1149,11.43,46.50,30.97,22,9.90,4.81,52.58,26.28,53,9.89,0.42,0.46,0.44,15,0.0133,0
1150,25.09,47.12,34.22,26,5.89,1.89,49.76,21.22,39,9.93,0.42,0.46,0.44,14,0.0103,0
1151,11.64,45.86,33.68,25,9.30,8.32,66.69,23.74,25,15.95,0.43,0.47,0.44,14,0.0139,0.471
1152,14.12,57.20,38.92,38,10.10,3.30,71.03,22.19,23,19.33,0.43,0.47,0.44,10,0.0141,0.484
1153,20.19,53.65,35.59,22,10.06,4.67,64.29,25.71,48,11.53,0.43,0.48,0.45,19,0.0163,0.509
1154,12.00,44.61,30.70,24,8.93,2.30,39.82,22.19,43,8.92,0.42,0.45,0.44,10,0.0092,0
1155,20.99,47.63,35.76,23,6.29,9.79,57.28,22.39,26,11.74,0.42,0.48,0.44,16,0.0173,0.237
1156,13.54,45.54,31.70,27,8.81,7.36,70.23,20.11,21,15.97,0.42,0.48,0.44,16,0.016,0
1157,24.13,58.45,37.97,31,9.11,5.23,72.55,26.86,45,15.43,0.41,0.47,0.44,11,0.0153,0
1158,18.21,51.70,38.40,26,9.76,2.02,47.23,22.54,47,9.14,0.41,0.47,0.44,21,0.0174,0
1159,15.62,42.08,31.29,26,7.74,4.68,37.91,21.23,25,8.01,0.40,0.47,0.44,9,0.0223,0.3
1160,19.15,45.46,34.45,23,6.69,8.02,64.92,21.23,24,14.40,0.41,0.47,0.44,16,0.0165,0.253
1161,16.99,50.40,32.49,33,7.87,2.68,70.41,23.94,22,19.54,0.40,0.46,0.43,15,0.0207,0
1162,21.69,60.81,38.12,24,10.28,1.72,60.87,25.23,66,10.64,0.40,0.47,0.44,13,0.0216,0.201
1164,17.00,48.16,32.90,23,7.85,3.11,54.02,21.02,21,12.00,0.40,0.47,0.43,13,0.024,0.143
1167,26.11,61.51,36.44,26,10.16,6.32,45.55,21.95,31,8.17,0.40,0.46,0.43,12,0.0199,0.617
1168,18.07,60.34,37.52,32,10.65,8.27,37.10,20.01,24,7.65,0.40,0.46,0.43,18,0.0222,0.51
1169,19.76,59.01,35.10,25,9.24,6.99,40.46,22.32,23,10.57,0.40,0.45,0.43,10,0.0196,0
1170,26.20,49.29,35.44,25,7.17,3.03,41.57,26.16,56,7.70,0.41,0.46,0.43,12,0.0185,0
1175,26.88,53.10,36.04,24,8.11,15.62,38.22,25.15,41,5.40,0.40,0.46,0.43,13,0.0227,0.545
1176,21.49,49.31,34.58,28,6.66,12.61,36.83,23.82,21,5.89,0.40,0.47,0.43,13,0.0221,0.582
1178,24.11,60.56,38.90,31,10.08,2.43,37.80,26.52,46,6.15,0.40,0.47,0.44,10,0.0224,0.363
1179,27.49,62.01,37.96,31,9.02,14.34,37.30,26.26,46,5.18,0.40,0.47,0.43,18,0.0235,0.248
1180,28.50,58.24,36.96,22,8.60,15.13,35.90,24.21,23,4.71,0.41,0.47,0.43,13,0.0211,0.583
1181,27.88,58.50,37.69,29,8.28,11.17,31.54,22.70,21,5.33,0.40,0.47,0.43,12,0.0232,0.59
1183,28.80,61.91,39.36,25,9.65,8.23,37.78,25.87,51,5.11,0.40,0.46,0.42,14,0.0162,0.583
1184,28.59,55.80,38.16,35,7.50,11.71,34.39,24.67,24,5.77,0.40,0.45,0.43,13,0.0134,0.629
1186,28.22,64.13,38.81,32,9.13,8.90,36.95,23.47,21,6.45,0.41,0.44,0.42,13,0.0084,0.438
1187,30.56,57.61,38.62,21,7.27,9.08,39.06,25.28,60,4.67,0.40,0.44,0.42,15,0.0102,0.487
1188,28.28,61.89,38.87,34,8.05,9.44,28.84,23.00,32,5.08,0.41,0.43,0.42,12,0.0083,0.467
1189,29.27,59.77,40.03,30,8.35,9.09,31.09,22.18,22,5.35,0.41,0.43,0.42,16,0.006,0.499
1190,28.28,53.97,37.99,26,7.16,13.28,36.53,21.59,21,6.68,0.41,0.43,0.42,17,0.0049,0.594
1191,29.28,59.57,39.32,26,8.51,11.16,39.58,24.20,54,6.70,0.41,0.43,0.42,14,0.0052,0.377
1192,28.51,59.79,37.90,28,7.30,5.64,34.31,21.62,40,5.72,0.41,0.43,0.42,14,0.0064,0.385
1193,28.35,56.08,39.77,28,8.13,5.50,27.04,19.47,22,5.74,0.41,0.43,0.42,12,0.0076,0.53
1194,27.98,55.51,40.65,38,8.18,4.59,32.88,17.73,20,7.88,0.41,0.43,0.42,13,0.0077,0.556
1196,27.53,56.48,38.52,33,8.01,3.10,54.52,22.14,42,9.29,0.40,0.44,0.42,11,0.0116,0.679
1197,25.57,59.13,38.40,22,8.01,3.02,27.96,18.62,25,6.53,0.40,0.43,0.42,15,0.0096,0.676
1198,26.29,55.41,38.28,28,7.09,3.55,27.85,15.07,20,7.77,0.39,0.43,0.42,15,0.0136,0.621
1199,25.14,58.58,40.54,39,9.42,6.06,62.39,21.48,42,11.07,0.39,0.43,0.41,12,0.0123,0.554
1200,25.15,55.43,38.96,21,9.56,5.22,68.10,20.92,45,10.75,0.39,0.44,0.42,15,0.016,0
1201,26.10,57.35,38.40,31,8.46,4.89,58.90,20.91,29,9.56,0.39,0.44,0.41,13,0.0182,0
1203,25.01,61.73,38.42,29,8.82,4.52,34.12,17.41,38,7.54,0.39,0.44,0.42,18,0.0187,0.21
1204,23.70,60.79,40.42,32,10.52,4.83,58.38,20.49,40,10.60,0.39,0.44,0.41,10,0.019,0.185
1205,24.27,59.90,39.02,30,10.38,6.74,52.81,20.21,35,8.05,0.38,0.44,0.41,13,0.0204,0.146
1206,22.66,61.28,38.53,28,9.59,3.50,25.03,17.02,25,6.60,0.38,0.44,0.42,14,0.0233,0
1207,22.92,53.78,36.00,26,8.24,4.56,25.37,16.14,25,6.45,0.38,0.44,0.41,13,0.021,0.003
1208,22.21,66.79,39.55,27,10.43,4.27,34.47,16.15,44,6.69,0.38,0.44,0.41,15,0.0232,0.196
1209,21.52,65.48,38.95,30,10.77,4.13,35.94,17.98,39,7.52,0.38,0.43,0.41,14,0.0187,0.461
1210,22.04,63.58,39.81,33,10.90,3.05,35.45,17.98,22,8.01,0.38,0.43,0.40,11,0.0209,0.511
1211,20.99,64.48,38.65,28,11.89,5.27,27.13,15.13,21,6.59,0.38,0.43,0.40,18,0.0203,0.497
1212,20.87,55.23,36.30,25,9.26,4.92,30.75,15.56,46,6.53,0.38,0.43,0.40,21,0.0167,0.479
1213,19.21,69.27,37.57,30,10.30,1.97,29.47,13.69,37,6.96,0.38,0.42,0.40,16,0.0154,0.212
1214,21.08,69.47,39.94,27,12.38,3.93,36.91,15.17,29,7.12,0.37,0.43,0.40,17,0.0185,0.181
1215,18.25,70.72,40.55,39,11.90,5.74,37.80,15.93,19,7.51,0.38,0.42,0.39,17,0.0116,0.09
1218,19.56,69.96,37.80,28,11.39,0.12,24.79,11.07,34,5.27,0.37,0.40,0.39,17,0.0106,0.282
1219,20.95,71.11,39.70,29,12.25,1.46,29.94,14.82,21,7.83,0.37,0.40,0.38,21,0.0099,0.295
1220,17.63,76.55,39.59,34,12.27,0.59,34.27,16.25,39,7.22,0.36,0.39,0.38,19,0.0104,0.249
1221,16.73,78.27,39.60,26,14.67,1.98,23.69,12.36,32,4.85,0.36,0.39,0.38,21,0.0089,0.234
1224,19.64,70.78,37.78,29,11.52,1.23,40.69,15.06,36,7.77,0.36,0.39,0.38,19,0.0097,0.226
1225,19.78,83.30,40.84,37,13.94,3.76,41.12,16.09,35,8.50,0.36,0.39,0.38,21,0.0108,0.238
1226,18.13,83.99,37.86,28,15.02,0.74,24.95,10.50,32,6.95,0.36,0.39,0.38,22,0.0111,0.263
1227,17.36,64.68,37.93,27,11.75,4.50,28.73,12.78,28,7.74,0.36,0.39,0.38,18,0.01,0.282
1228,20.32,68.02,39.47,30,12.38,3.95,48.00,13.79,27,10.07,0.36,0.39,0.38,20,0.0098,0.292
1229,18.36,70.73,37.26,28,12.55,1.78,50.58,16.75,41,9.50,0.36,0.39,0.38,24,0.0098,0.262
1233,18.06,68.01,40.06,28,12.45,0.65,58.10,17.57,45,11.54,0.37,0.39,0.38,18,0.0075,0.23
1234,16.74,71.15,38.57,29,11.56,3.30,54.76,18.57,28,12.06,0.37,0.39,0.38,27,0.0065,0.196
1235,18.33,81.32,39.00,29,13.82,0.66,44.67,14.17,35,11.33,0.37,0.39,0.38,24,0.0066,0.28
1236,21.59,83.25,38.85,33,13.75,5.64,47.46,21.75,24,12.79,0.37,0.39,0.38,24,0.0057,0.257
1237,20.68,65.72,38.74,28,11.05,1.88,54.45,18.78,39,11.11,0.37,0.39,0.37,26,0.0057,0.25
1238,19.41,67.90,37.33,27,10.32,3.09,58.65,21.77,32,13.11,0.37,0.38,0.37,22,0.0048,0.248
1239,20.92,69.96,39.75,29,10.81,2.83,49.52,17.41,28,13.97,0.37,0.38,0.37,25,0.0047,0.244
1240,19.05,74.60,38.65,31,12.22,0.62,49.46,17.17,28,12.81,0.36,0.38,0.37,24,0.0052,0.249
1241,25.09,72.00,40.29,38,10.31,2.17,52.67,21.49,40,13.13,0.36,0.38,0.37,28,0.0057,0.249
1242,20.01,66.75,38.47,27,10.61,2.02,56.29,23.98,31,11.43,0.36,0.38,0.37,20,0.0074,0.294
1243,25.74,68.22,38.66,29,9.32,6.34,55.44,20.56,28,15.35,0.36,0.38,0.37,25,0.0057,0.233
1244,19.59,68.01,38.98,28,10.47,2.11,54.09,17.68,32,14.89,0.36,0.38,0.37,29,0.0043,0.286
1245,24.62,66.69,41.16,29,11.56,1.45,54.58,20.21,28,13.64,0.36,0.37,0.37,19,0.0041,0.27
1246,18.96,66.81,40.51,39,9.70,4.09,58.91,26.81,41,13.34,0.36,0.37,0.37,26,0.0049,0.242
1247,22.61,68.82,39.50,29,10.06,6.48,62.42,22.84,25,13.65,0.36,0.38,0.37,24,0.0055,0.235
1248,19.32,68.44,40.06,24,9.80,1.85,61.91,20.50,29,16.31,0.36,0.38,0.37,26,0.0069,0.239
1249,20.62,69.01,40.35,33,11.51,7.04,53.29,23.32,24,14.73,0.36,0.38,0.37,24,0.0058,0.243
1250,20.61,54.88,39.37,29,8.60,8.20,58.04,24.69,46,12.85,0.36,0.37,0.36,26,0.0048,0.227
1251,20.03,70.65,39.92,35,10.16,6.98,66.33,27.93,28,16.22,0.35,0.37,0.36,20,0.0062,0.246
1252,22.65,71.02,41.98,32,10.63,1.68,66.04,21.53,28,14.73,0.35,0.37,0.36,29,0.005,0.235
1253,20.14,69.48,38.67,30,11.73,10.27,60.81,24.50,28,14.34,0.35,0.37,0.36,24,0.0049,0.239
1254,25.46,73.23,40.76,29,11.05,10.82,54.70,25.32,41,12.59,0.35,0.37,0.36,28,0.0057,0.233
1255,21.19,73.33,39.53,31,10.94,8.23,63.78,30.36,31,14.72,0.35,0.37,0.36,22,0.0057,0.269
1256,25.55,72.17,41.46,31,10.52,0.94,67.30,24.98,26,18.37,0.35,0.37,0.36,24,0.0054,0.242
1257,22.98,69.93,42.75,34,11.75,9.32,63.13,24.03,29,13.41,0.35,0.36,0.36,27,0.0044,0.274
1258,18.31,66.20,39.21,26,10.83,12.20,56.70,25.91,38,12.47,0.35,0.37,0.36,28,0.0054,0.276
1259,13.66,74.57,39.69,31,12.68,11.93,56.59,33.44,31,14.70,0.35,0.36,0.36,23,0.005,0.253
