TIME,S_MIN,S_MAX,S_MID,S_COUNT,S_VAR,T_MIN,T_MAX,T_MID,T_COUNT,T_VAR,SGR_MIN,SGR_MAX,SGR_MID,SGR_COUNT,SGR_VAR,SO
803,13.46,19.4,16.585,6,2.7229,3.04,8.7,5.78,6,2.3307,0.747,0.7,0.747,1,0,0
806,14.2,14.2,14.2,1,0,11.07,11.1,11.07,1,0,0.6181,0.7,0.6568,2,0.0388,0
808,13.28,53.3,33.285,2,20.005,8.59,11.7,10.155,2,1.565,0.6823,0.7,0.6902,2,0.0078,0
809,12.26,33.8,24.63,3,9.0867,7.08,14.5,10.7633,3,3.0294,0.663,0.7,0.6855,2,0.0224,0
810,11.6,34.2,19.4067,3,10.4658,10.6,14.1,12.18,3,1.47,0.6663,0.7,0.6722,2,0.0059,0
811,53.88,53.9,53.88,1,0,9.3,9.3,9.3,1,0,0.6578,0.7,0.6578,1,0,0
812,22.28,32.5,27.37,2,5.09,5.62,11.8,8.715,2,3.095,0.6665,0.7,0.6762,4,0.0082,0
813,4.26,49.1,23.1875,4,17.2446,7.95,18.9,13.2325,4,4.2858,0.7001,0.7,0.7053,2,0.0052,0
814,-9.17,53.5,31.6075,8,22.2898,9.11,24.1,14.8575,8,5.1092,0.6589,0.7,0.6598,2,0.0008,0
815,3.59,49.2,28.4525,4,20.2855,10.44,26.9,18.1375,4,5.9915,0.5909,0.7,0.656,5,0.0331,0
816,-7.96,28.1,10.604,5,11.4383,8.61,21,12.982,5,4.256,0.6157,0.7,0.6406,2,0.0249,0
817,1.73,52.5,39.0367,6,17.884,6.14,19.9,13.6733,6,5.4556,0.6691,0.7,0.6733,3,0.0032,0
818,-9.51,24.8,10,6,12.4051,3.71,21.2,12.73,6,6.133,0.6241,0.7,0.6756,6,0.028,0
819,-14.64,26.3,6.685,6,13.9956,7.48,24.5,14.9667,6,6.9308,0.6571,0.7,0.6804,4,0.0214,0
820,-21.46,50.2,24.873,10,25.0753,8.5,29,15.644,10,7.0901,0.6103,0.7,0.6547,4,0.0259,0
821,-23.12,44.3,7.11,6,28.0998,3.33,30.4,21.915,6,9.5019,0.6256,0.7,0.6528,5,0.0191,0
822,6.5,19.5,13.0625,4,4.9512,6.7,16.6,11.5675,4,3.783,0.6424,0.7,0.6612,4,0.0171,0
828,15.48,49.9,33.6187,8,14.5629,5.48,28,17.1238,8,8.6596,0.6852,0.7,0.699,5,0.0092,0
829,3.58,23.8,13.695,2,10.115,5.68,17.8,11.72,2,6.04,0.6607,0.7,0.6904,5,0.0228,0
830,-6.14,51.9,23.1083,6,20.3602,6.13,22,14.1667,6,5.9107,0.6689,0.7,0.6853,6,0.0095,0
831,1.29,46.8,31.4933,3,21.3576,16.86,20.1,18.67,3,1.3524,0.668,0.7,0.6857,6,0.0109,0
832,-6.24,21.3,3.8133,3,12.3977,6.43,22.6,16.93,3,7.4311,0.652,0.7,0.6846,6,0.0174,0
839,45.43,50.3,47.875,2,2.445,9.21,22.5,15.85,2,6.64,0.6994,0.7,0.7064,4,0.0074,0.412
840,18.01,53,37.654,5,13.9726,2.77,22.3,11.088,5,6.7404,0.7289,0.7,0.7297,2,0.0008,0.412
854,25.07,56.4,33.8825,4,13.0465,1.92,12.6,6.995,4,4.1015,0.6868,0.8,0.7312,16,0.0256,0
855,22.66,55.7,39.1,7,11.2779,3.76,24.6,11.2414,7,6.6883,0.7101,0.8,0.7399,14,0.0187,0
859,27.88,42.2,32.93,3,6.5294,5.93,9.8,8.18,3,1.6436,0.7145,0.8,0.7523,17,0.0229,0
864,13.56,49.2,28.806,5,16.0707,8.14,19.4,13.416,5,3.5981,0.6715,0.8,0.7162,120,0.0361,0.427
865,19.77,55.1,31.6286,7,14.795,6.63,23,12.3829,7,6.567,0.6759,0.8,0.729,127,0.035,0.427
867,12.16,56.5,33.135,6,19.2736,8.86,24.6,16.845,6,6.2751,0.6995,0.8,0.7381,139,0.0305,0.001
870,19.65,49.3,26.5833,6,10.3832,3.07,16,7.63,6,4.1496,0.6541,0.8,0.7423,152,0.0266,0
871,12.7,58.3,44.9425,4,18.8253,15.83,27.5,21.8625,4,5.1148,0.6019,0.8,0.7445,72,0.039,0
872,30.96,57.4,44.2,2,13.24,8.56,27.3,17.915,2,9.355,0.6596,0.8,0.7404,159,0.0245,0
873,19.21,52.8,27.6483,6,11.6552,4.23,18.9,8.2767,6,4.9462,0.6916,0.8,0.7422,151,0.0232,0
877,20.77,55.9,39.6378,9,9.7876,4.53,21,9.14,9,4.6008,0.6942,0.8,0.7465,81,0.038,0.175
878,20.93,46.9,35.512,5,11.6333,5.43,17.7,10.93,5,5.011,0.6915,0.8,0.7469,152,0.0336,0.175
880,16.75,56.7,36.818,5,14.6632,5.83,22.1,14.066,5,5.2132,0.6711,0.8,0.7474,77,0.0402,0.001
881,14.96,56.9,32.766,5,15.1918,7.21,26.3,15.918,5,7.7241,0.6743,0.9,0.7475,150,0.0342,0.001
882,34.75,43.2,38.985,2,4.235,8.62,14,11.33,2,2.71,0.6867,0.9,0.7443,158,0.0339,0.001
883,16.72,55.7,31.7633,3,17.1238,6.11,24.7,18.1633,3,8.5344,0.6823,0.9,0.7465,84,0.0387,0.001
884,15.45,54.7,39.1182,11,14.1132,7.34,23.4,14.9336,11,5.1937,0.6811,0.9,0.7336,148,0.0354,0.001
885,23.3,29.5,26.5433,3,2.5534,3.85,12,7.4033,3,3.4302,0.6721,0.9,0.7299,159,0.0343,0.001
886,19.41,55.4,37.405,2,17.995,19.48,21.6,20.555,2,1.075,0.6937,0.9,0.746,80,0.0343,0.001
904,30.44,69.4,43.3637,8,12.5418,6.75,27.1,12.95,8,6.4752,0.5815,0.8,0.6982,156,0.0308,0
909,31.84,56,37.556,5,9.2593,7.7,15.8,10.742,5,2.8733,0.6144,0.8,0.7063,72,0.0397,0.461
910,24,44.6,33.8467,3,8.4159,8.03,18.7,12.78,3,4.4073,0.6186,0.8,0.7051,153,0.0298,0.461
911,52.19,52.2,52.19,1,0,16.01,16,16.01,1,0,0.5982,0.8,0.7049,146,0.0358,0.461
912,31.59,42,35.6033,3,4.5399,11.83,15.5,13.2633,3,1.6023,0.6047,0.8,0.7181,77,0.0379,0.015
913,25.22,55.8,41.5243,7,12.4071,8,17.8,13.8743,7,3.6217,0.6131,0.8,0.6992,152,0.0346,0.015
915,23.33,60,41.65,2,18.32,16.7,17.2,16.955,2,0.255,0.6086,0.8,0.6995,73,0.0315,0.215
916,27.37,56.9,41.72,7,9.8428,8.37,17,13.86,7,3.2161,0.6238,0.8,0.6981,148,0.0298,0.215
917,33.69,64.8,49.64,3,12.728,9.43,19.5,15.4733,3,4.3453,0.6184,0.8,0.6948,146,0.0356,0.215
918,27.21,56.1,41.024,5,11.4565,10.63,18.4,12.65,5,2.9566,0.6234,0.8,0.6918,79,0.0354,0.215
919,25.6,54.7,38.5378,9,11.2921,6.03,18.8,13.1222,9,4.6148,0.5955,0.8,0.6953,150,0.0331,0.215
921,28.06,59.1,42.18,7,13.3756,1.04,18.5,10.02,7,7.0459,0.602,0.8,0.6963,125,0.0297,0.192
922,30.25,50.8,37.442,5,7.363,8.17,20.4,15.118,5,4.7273,0.6184,0.8,0.6983,155,0.0271,0.192
923,29.55,58.8,45.03,4,13.2193,5.81,18.3,14.7325,4,5.1677,0.6137,0.8,0.6905,74,0.033,0.192
924,25.64,53.3,34.3633,6,9.4936,6.66,19.8,12.885,6,5.0017,0.5865,0.8,0.7073,140,0.0378,0.192
925,31.25,55.9,41.9675,4,10.7193,10.69,16.5,14.0325,4,2.3491,0.6072,0.8,0.7019,150,0.0333,0.04
926,29.83,50.1,39.98,2,10.15,7.49,20.8,14.145,2,6.655,0.6116,0.7,0.6801,79,0.0232,0.04
927,34.43,37.7,36.5367,3,1.4923,11.38,18,14.2133,3,2.8025,0.582,0.8,0.6979,134,0.0373,0.04
928,31.06,58,44.105,4,11.511,12.63,21.2,16.145,4,3.596,0.6169,0.7,0.6847,149,0.0273,0.04
929,23.84,59.7,40.2167,6,14.3903,7.92,19.1,11.8933,6,3.6875,0.6111,0.9,0.6808,84,0.0334,0.04
930,37.18,37.2,37.18,1,0,10.43,10.4,10.43,1,0,0.6142,0.8,0.6914,136,0.0318,0.04
931,31.6,59.3,45.55,5,10.3227,8.3,16.8,12.828,5,2.7681,0.6256,0.8,0.6983,146,0.0266,0.04
932,30.48,53.1,43.1,3,9.4056,3.37,16.6,11.1033,3,5.6203,0.6056,0.9,0.7227,79,0.0419,0.04
932,30.48,53.1,43.1,3,9.4056,3.37,16.6,11.1033,3,5.6203,0.6056,0.9,0.7227,79,0.0419,0.04
933,33.36,55.6,42.924,5,9.0535,7.44,20.6,14.626,5,4.8353,0.605,0.8,0.7192,139,0.0324,0.04
934,22.53,62.3,41.6622,9,14.6194,7.17,16,12.03,9,2.7336,0.6144,0.9,0.7217,142,0.033,0.04
936,30.57,50.9,40.725,2,10.155,7.14,15.4,11.27,2,4.13,0.6097,0.8,0.7146,138,0.0288,0.006
937,34.23,69,53.36,8,11.4751,9.15,20.4,15.18,8,3.606,0.6461,0.8,0.7201,140,0.0251,0.006
938,32.58,69.5,54.3214,7,14.1273,13.51,18.4,15.8357,7,1.6539,0.6248,0.8,0.721,81,0.0351,0.006
938,32.58,69.5,54.3214,7,14.1273,13.51,18.4,15.8357,7,1.6539,0.6248,0.8,0.721,81,0.0351,0.006
939,21.58,51.8,36.7043,7,11.2158,9.57,20.3,15.1657,7,4.2231,0.6302,0.8,0.71,133,0.0255,0.006
940,32.9,66,45.6733,3,14.5239,12.83,14.2,13.62,3,0.5694,0.6211,0.8,0.7032,145,0.0321,0.006
941,54.47,69,59.688,5,5.1982,10.8,20.1,16.292,5,3.3007,0.6322,0.7,0.7089,87,0.0269,0.006
942,34.79,42.9,38.0233,3,3.5027,13.71,22.2,16.6867,3,3.8683,0.6081,0.7,0.6903,133,0.0302,0.006
944,23.22,57.8,35.6417,6,11.4509,7.87,23.1,14.5933,6,4.7,0.6075,0.8,0.6869,94,0.0282,0
944,23.22,57.8,35.6417,6,11.4509,7.87,23.1,14.5933,6,4.7,0.6075,0.8,0.6869,94,0.0282,0
948,34.23,50.6,41.6567,3,6.7531,12.76,17.8,15.7867,3,2.1758,0.5815,0.8,0.6934,151,0.0504,0.003
949,26.63,67.7,39.9229,7,13.8508,6.03,17.2,12.4429,7,3.7935,0.6288,0.8,0.6976,38,0.0445,0.003
955,35.47,69.8,52.605,4,14.5832,10.9,20.9,14.175,4,3.939,0.6215,0.8,0.7061,74,0.0294,0.238
956,30.79,52.8,42.15,3,9.0106,14.14,19.2,16.1433,3,2.1959,0.6096,0.8,0.6949,114,0.0269,0.238
958,34.75,70.8,56.726,5,13.3336,10.33,17,14.168,5,2.304,0.5561,0.8,0.6624,80,0.0394,0.185
959,29.56,71.4,44.42,6,14.8195,3.65,18.5,11.4333,6,5.3664,0.557,0.8,0.6819,112,0.0361,0.185
960,30.4,56.3,43.325,2,12.925,13.72,24.8,19.265,2,5.545,0.5796,0.8,0.6868,146,0.0303,0.185
962,44.62,58.8,52.2133,3,5.8454,11.02,18.5,15.6533,3,3.3006,0.5898,0.9,0.6949,129,0.0349,0.166
962,44.62,58.8,52.2133,3,5.8454,11.02,18.5,15.6533,3,3.3006,0.5898,0.9,0.6949,129,0.0349,0.166
963,32.84,54.4,43.63,2,10.79,7.67,18.4,13.035,2,5.365,0.5935,0.9,0.6974,123,0.036,0.166
964,30.16,92.4,46.1762,8,19.5684,4.76,27.6,12.6912,8,7.7529,0.5872,0.8,0.7056,91,0.0329,0.166
965,42.85,95.1,72.8033,3,21.9985,16.86,24.2,19.4433,3,3.3951,0.5888,0.9,0.7058,137,0.0418,0.166
968,32.93,54.6,44.3775,4,7.708,5.53,27.8,17.37,4,7.9404,0.5932,0.8,0.6907,143,0.0344,0.155
968,32.93,54.6,44.3775,4,7.708,5.53,27.8,17.37,4,7.9404,0.5932,0.8,0.6907,143,0.0344,0.155
974,34.42,58.6,47.2033,3,9.9234,5.2,15.3,11.7167,3,4.6147,0.6187,0.8,0.6772,125,0.0258,0.507
975,34.02,72.8,46.1,6,14.2166,4.37,24.9,11.7983,6,6.7355,0.6294,0.7,0.6798,84,0.0241,0.507
976,54.2,71.9,63.645,4,6.4779,10.45,18.2,13.9125,4,3.0482,0.6076,0.8,0.6777,140,0.0256,0.128
977,35.1,56.1,49.5925,4,8.5971,4.65,24.1,16.025,4,7.4906,0.607,0.7,0.6811,114,0.0269,0.128
978,43.47,48.5,45.98,2,2.51,14.26,16.7,15.49,2,1.23,0.6001,0.8,0.6793,90,0.0315,0.252
979,33.22,78.8,41.5814,7,15.2243,4.07,19.9,7.1314,7,5.2806,0.6126,0.8,0.7063,132,0.0346,0.252
979,33.22,78.8,41.5814,7,15.2243,4.07,19.9,7.1314,7,5.2806,0.6126,0.8,0.7063,132,0.0346,0.252
980,33.84,65.9,46.125,6,13.0549,5.38,27.9,12.0183,6,7.415,0.5969,0.8,0.703,123,0.0358,0.252
981,36.63,58,51.918,5,7.8518,4.74,21.5,14.58,5,5.9277,0.623,0.8,0.7154,73,0.036,0
982,35.02,69,50.9767,3,13.9251,3.65,22.1,12.6267,3,7.5492,0.6526,0.8,0.7078,130,0.0244,0
983,35.3,77.1,59.914,5,15.7124,4.37,15.3,12.562,5,4.1222,0.6023,0.8,0.6936,140,0.0292,0
983,35.3,77.1,59.914,5,15.7124,4.37,15.3,12.562,5,4.1222,0.6023,0.8,0.6936,140,0.0292,0.049
984,35.11,54.4,45.17,3,7.9005,4.95,16.8,11.8167,3,5.0136,0.6228,0.7,0.6799,64,0.028,0.049
985,32.26,61.3,44.8167,6,10.4799,5.4,29.4,14.815,6,8.2347,0.6214,0.8,0.6856,128,0.0339,0.049
990,29.93,52.7,41.5867,6,8.2719,5.48,28.6,11.5067,6,7.9087,0.6289,0.8,0.7051,82,0.0311,0.105
991,35.84,97.1,62.718,5,25.717,3.56,21.1,12.9,5,7.6969,0.6077,0.8,0.6995,121,0.0272,0.105
991,35.84,97.1,62.718,5,25.717,3.56,21.1,12.9,5,7.6969,0.6077,0.8,0.6995,121,0.0272,0.105
992,36.34,68,53.3225,4,12.3631,3.99,24.7,14.58,4,7.3589,0.6302,0.9,0.6999,122,0.0288,0.105
994,35.53,115,67.22,3,34.362,3.91,28.1,14.06,3,10.2398,0.649,0.7,0.6989,127,0.0212,0.158
995,28.37,64.8,46.33,7,13.6444,4.21,26.4,11.72,7,6.7914,0.6395,0.7,0.6954,106,0.0183,0.158
998,33.77,40.9,37.87,5,2.7286,2.41,7.8,5.242,5,2.0678,0.6151,0.8,0.7085,84,0.0303,0.158
